품목일련번호,품목명,품목 영문명,업체명,업체 영문명,업허가번호,업일련번호,업종,전문일반구분,주성분,주성분수,큰제품이미지,신고허가구분,취소/취하일자,취소/취하구분,분류명,품목허가번호,보험코드,사업자번호,품목허가일자,Unnamed: 20
195700020,활명수,WHALMYUNGSU,동화약품(주),DongwhaPharm.Co.|Ltd.,1331.0,19570006.0,의약품,일반의약품,Gambir/L-Menthol/CapsicumTincture/CorydalisTuber/CinnamonBark/Clove/Ginger/Nutmeg/AtractylodesRhizome/CitrusUnshiuPeel/MagnoliaBark,11,-,신고,-,정상,[02330]건위소화제,73.0,-,1108100102,19570131.0,
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SinsinCornPlaster,신신제약(주),SINSINPharmaceuticalCo.|Ltd.,1332.0,19570016.0,의약품,일반의약품,SalicylicAcid,1,-,신고,-,정상,[02660]피부연화제(부식제를포함),74.0,-,1188104136,19591201.0,
195900043,아네모정,AnemoTab.,삼진제약(주),SAMJINPHARM.CO.|LTD,1324.0,19560011.0,의약품,일반의약품,DriedAluminiumHydroxideGel/SodiumBicarbonate/PrecipitatedCalciumCarbonate/MagnesiumCarbonate/ScopoliaExtractPowder10%,5,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035092098000085,신고,-,정상,[02340]제산제,8.0,-,1248531621,19590113.0,
195900045,자모,Jamo,정우신약(주),JungWooPharmCo.|Ltd.,1311.0,19550008.0,의약품,일반의약품,EphedraHerb/Ginseng/PolygalaRoot/PlatycodonRoot/Guaifenesin,5,-,신고,-,정상,[02220]진해거담제,5215.0,-,1048158517,19590420.0,
196000011,페니라민정(클로르페니라민말레산염),PeniraminTablet,(주)유한양행,YUHANCorporation,1329.0,19560004.0,의약품,일반의약품,ChlorpheniramineMaleate,1,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Orz9gcUHnw,신고,-,정상,[01410]항히스타민제,5124.0,642102570,1188100601,19601010.0,
196200034,삐콤정,BeecomTablet,(주)유한양행,YUHANCorporation,1329.0,19560004.0,의약품,일반의약품,ThiamineHydrochloride/Riboflavin/PyridoxineHydrochloride/Nicotinamide/CalciumPantothenate/CyanocobalaminPowder1%/AscorbicAcidGranules97%,7,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153495248483300010,신고,-,정상,[03160]혼합비타민제(비타민AD혼합제제를제외),572.0,-,1188100601,19620823.0,
196300011,스므스삼중정(수출용),-,서울약품공업(주),seoulpharmaceuticalinc.co.|ltd.,1288.0,19540004.0,의약품,일반의약품,PrecipitatedCalciumCarbonate/SodiumBicarbonate/Poliase/Diastase/ScopoliaExtractPowder/CrudeGlycyrrhizaExtract/CinnamonBarkOil/FennelOil/CloveOil/AurantiiPericarpiumOil/GingerTincture/DL-Menthol/DehydrocholicAcid,13,-,허가,-,정상,[02330]건위소화제,54.0,-,2248139153,19630812.0,
196300084,광동경옥고,KwangdongKyeongokgo,광동제약(주),KwangdongPharmCo.|Ltd.,150.0,19920004.0,의약품,일반의약품,RehmanniaeGlutinosaeLiboschitzvar.PurpureaeMakino/PoriaPowder/Ginseng/Honey,4,-,신고,-,정상,[03290]기타의자양강장변질제,1.0,-,1138108888,19631015.0,
196400046,게루삼정,GelusamTab.,삼남제약(주),SAMNAMPHARMACEUTICALCO.|LTD,1307.0,19550017.0,의약품,일반의약품,DriedAluminiumHydroxideGel/PrecipitatedCalciumCarbonate/MagnesiumCarbonate/SodiumBicarbonate,4,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154307400984500104,신고,-,정상,[02340]제산제,22.0,-,3058118345,19640424.0,
196400089,보화소합원(대환|소환),Bohwasohapwon,원광제약(주),WONKWANGPHARMACEUTICALCORPORATION,1450.0,19640014.0,의약품,일반의약품,PuerariaRoot/Licorice/CinnamonBark/AmomumFruit/CitrusUnshiuPeel/AtractylodesRhizome/CyperusRhizome/MagnoliaBark/HordeiFructusGerminatus/ChaenomelisFructus/L-Menthol/SantaliAlbiLignum/PatriniaeRadix/MassaMedicataFermentata/Bomeolum/SantaliniLignumRubrum/AmomumTsao-koFruit/PiperisLongiFructus/PuerariaRoot/Licorice/CinnamonBark/AmomumFruit/CitrusUnshiuPeel/AtractylodesRhizome/CyperusRhizome/MagnoliaBark/HordeiFructusGerminatus/ChaenomelisFructus/L-Menthol/SantaliAlbiLignum/PatriniaeRadix/MassaMedicataFermentata/Bomeolum/SantaliniLignumRubrum/AmomumTsao-koFruit/PiperisLongiFructus,36,-,신고,-,정상,[02330]건위소화제,269.0,-,4038107268,19641030.0,
